,(89:r:73:61),(89:r:73:62),(89:r:74:60),(89:r:74:61),(89:r:74:62),(89:r:74:63),(89:r:75:58),(89:r:75:59),(89:r:75:60),(89:r:75:61),(89:r:75:62),(89:r:75:63),(89:r:76:55),(89:r:76:56),(89:r:76:57),(89:r:76:58),(89:r:76:59),(89:r:76:60),(89:r:76:61),(89:r:76:62),(89:r:76:63),(89:r:77:54),(89:r:77:55),(89:r:77:56),(89:r:77:57),(89:r:77:58),(89:r:77:59),(89:r:77:60),(89:r:77:61),(89:r:77:62),(89:r:77:63),(89:r:78:54),(89:r:78:55),(89:r:78:56),(89:r:78:57),(89:r:78:58),(89:r:78:59),(89:r:78:60),(89:r:78:61),(89:r:78:62),(89:r:79:53),(89:r:79:54),(89:r:79:55),(89:r:79:56),(89:r:79:57),(89:r:79:58),(89:r:79:59),(89:r:79:60),(89:r:79:61),(89:r:79:62),(89:r:80:53),(89:r:80:54),(89:r:80:55),(89:r:80:56),(89:r:80:57),(89:r:80:58),(89:r:80:59),(89:r:80:60),(89:r:80:61),(89:r:81:52),(89:r:81:53),(89:r:81:54),(89:r:81:55),(89:r:81:56),(89:r:81:57),(89:r:81:58),(89:r:81:59),(89:r:81:60),(89:r:82:51),(89:r:82:52),(89:r:82:53),(89:r:82:54),(89:r:82:55),(89:r:82:56),(89:r:82:57),(89:r:82:58),(89:r:82:59),(89:r:83:51),(89:r:83:52),(89:r:83:53),(89:r:83:54),(89:r:83:55),(89:r:83:56),(89:r:83:57),(89:r:83:58),(89:r:84:51),(89:r:84:52),(89:r:84:53),(89:r:84:54),(89:r:84:55),(89:r:84:56),(89:r:85:51),(89:r:85:52),(89:r:85:53),(89:r:85:54),(89:r:85:55),(89:r:86:50),(89:r:86:51),(89:r:86:52),(89:r:86:53),(89:r:87:50),(89:r:87:51)
CPc.i.vm,,0.000997732,,0.006349206,0.002811791,,,,,0.000544218,0.001360544,,,0.015873016,0.030748299,0.051791383,0.001904762,,0.008707483,,,0.0061678,0.134512472,0.14185941,0.27845805,0.209795918,0.079455782,,,,,0.022222222,0.09723356,0.110022676,0.108027211,0.051882086,0.057505669,0.01106576,0.004535147,0.001179138,,0.00462585,0.01170068,0.017324263,0.061678005,0.012789116,0.031201814,0.027120181,0.012879819,,,,0.000453515,0.000907029,0.008798186,0.01478458,0.048707483,0.022131519,,,0.002086168,,0.006802721,0.001723356,0.020861678,0.07446712,0.058412698,0.000997732,0.002993197,0.035464853,0.016417234,0.001995465,0.006530612,0.044263039,0.26893424,0.208072562,0.014693878,0.220226757,0.39047619,0.253877551,0.14276644,0.214331066,0.388571429,0.16707483,0.009342404,0.054512472,0.309750567,0.550385488,0.563537415,0.240634921,0.06829932,0.002358277,0.000907029,0.000181406,0.000725624,,,0.008163265,,,,
CPc.v.vl,,,,,,,,,,,,,,,,,,,,,,,,0.000725624,0.0030839,0.000725624,,,,,,,0.003446712,,0.002811791,,,,,,0.002267574,0.025941043,0.00952381,0.025396825,0.013151927,0.031655329,0.008163265,,,,,0.001995465,0.008888889,0.001451247,0.014331066,0.069115646,0.033922902,0.003809524,,0.027029478,0.006802721,0.005442177,0.021133787,0.049342404,0.022403628,0.080181406,,0.000725624,0.000907029,0.297777778,0.496870748,0.0769161,0.038730159,0.024943311,0.044535147,0.02031746,,,0.128707483,0.451337868,0.636825397,0.543310658,0.17877551,0.052244898,,,,0.020861678,0.027573696,0.025759637,0.000634921,,,0.003900227,0.001723356,,,,,,,
CPc.v.vm,,,,,,,,,,,,,,0.044716553,0.039365079,0.030204082,0.023038549,,,,,0.008435374,0.368163265,0.423492063,0.283900227,0.039909297,0.012244898,,,,,0.357188209,0.715736961,0.609886621,0.270294785,0.028117914,,,,,0.041360544,0.544761905,0.3938322,0.167800454,0.034829932,,,,,,0.137505669,0.118004535,0.030204082,0.013877551,,,,,,0.031564626,0.055328798,0.009705215,0.009433107,,,,,,0.023310658,0.205804989,0.070385488,0.004988662,0.001179138,,,,,0.054512472,0.06984127,0.032018141,0.002721088,,,,,0.005895692,0.004897959,0.000816327,,,,0.003174603,0.002811791,,,,,,,,,
CPi.dl.d(tr),0.000181406,0.010249433,,0.007800454,0.105306122,0.055147392,,0.043174603,0.112018141,0.094875283,0.599274376,0.118004535,,,,0.000544218,0.059410431,0.521360544,0.552834467,0.568888889,0.018412698,,,,,0.00154195,0.102857143,0.421043084,0.669115646,0.1661678,,,,,,0.01015873,0.046712018,0.153741497,0.255328798,0.001360544,,,,,,,0.002267574,0.12707483,0.200362812,,,,,,0.003265306,,0.010521542,0.171156463,0.013424036,,,,,,0.009433107,0.016235828,0.046530612,0.003356009,,,,,,,0.011247166,0.039546485,0.001269841,,,,,,0.0061678,0.001995465,,,,,,,9.07E-05,,,,,,,,,,,
CPi.dl.imd(ll),,,,,0.001269841,0.002267574,,,0.00154195,0.001451247,0.002176871,0.002721088,,,,,0.002902494,0.000907029,0.000634921,0.033560091,,,,,,0.008163265,0.010249433,0.017959184,0.012335601,0.014421769,,,,,,0.004988662,0.095963719,0.237188209,0.023764172,0.008435374,,,,,,0.022947846,0.325260771,0.563265306,0.085623583,,,,,0.001451247,0.020408163,0.116825397,0.381133787,0.47537415,0.008072562,,,,,0.00244898,0.026213152,0.054693878,0.184852608,0.053333333,,,,,,,,0.057505669,0.027755102,,,,,,,,0.001904762,,,,9.07E-05,,,,,,,,,,,,,
CPi.dm.cd,,,,0.005714286,0.075918367,,0.001632653,0.055600907,0.071111111,0.055328798,0.059047619,0.002176871,,,,0.11292517,0.29569161,0.15845805,0.080634921,0.000362812,,,,,0.001814059,,0.172154195,0.007619048,0.028117914,0.000634921,,,,,0.013877551,0.001814059,0.008707483,,0.001451247,,,,,,,0.000725624,0.000181406,0.026031746,0.003900227,,,,,,,0.00154195,0.039183673,0.139319728,,,,,,,0.002267574,0.019229025,0.098049887,,,,,,,,0.019319728,0.081904762,0.000181406,,,0.000725624,,0.021405896,0.140952381,0.08,,,0.067210884,0.052789116,0.05723356,0.074376417,0.014512472,,0.004081633,0.004535147,,,,,0.010702948,,,
CPi.dm.d,0.016235828,0.012426304,0.000997732,0.14984127,0.634285714,0.023764172,,,0.139410431,0.671473923,0.21723356,0.166258503,,,,,,0.012879819,0.311746032,0.216145125,0.166712018,,,,,0.004172336,,,0.092244898,0.246349206,0.009251701,,,,,,,,0.012789116,0.049160998,,,,,,,,,0.001360544,0.000453515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.dm.dl,,,,0.004897959,0.041451247,0.024761905,,,0.086258503,0.343492063,0.275736961,0.20707483,,,,,9.07E-05,0.074104308,0.624399093,0.459410431,0.051791383,,,,,,0.000181406,0.004263039,0.312834467,0.321904762,0.000181406,,,,,,,,0.151473923,0.111564626,,,,,,0.000362812,0.010702948,,0.079727891,0.001814059,,,,,,,,0.000725624,0.005351474,,,,,,,,,,,,,,,,,,,0.000725624,,,,,,,,0.002902494,9.07E-05,,,,,0.001723356,0.000634921,,,,,,,,,
CPi.dm.dm,0.012517007,0.074648526,0.002721088,0.101405896,0.751655329,0.266848073,0.003356009,0.163446712,0.510748299,0.25106576,0.525079365,0.260136054,,,,,0.130521542,0.624580499,0.195011338,0.110657596,0.002993197,,,,,,0.002267574,0.18276644,0.058321995,0.019501134,0.001269841,,,,,,,0.010068027,0.09723356,0.007346939,,,,,,,,0.010521542,0.068752834,,,,,,,0.013968254,,0.027664399,0.004172336,,,,,,0.002267574,,,0.000816327,,,,,,,,,,,,,,,,,,,,,,0.000907029,,0.031655329,0.015419501,0.050430839,0.022222222,0.006530612,,0.004353741,0.00244898,,,
CPi.dm.im,0.0030839,0.029478458,0.007256236,0.320090703,0.548662132,0.139954649,,0.068752834,0.361179138,0.48462585,0.471020408,0.188571429,,,0.072653061,0.000362812,0.069024943,0.314829932,0.107120181,0.056961451,0.012789116,,,0.015147392,0.026303855,0.011791383,0.001632653,0.023038549,0.025759637,0.013061224,,,0.000181406,,,,,0.035283447,0.03845805,,,,,,,,,0.00399093,0.009795918,,,,,,,,,,,,,,,,,,,,,,,,,,0.00154195,0.001632653,,,,,,,,0.019863946,0.000816327,,0.006439909,0.049795918,0.128979592,0.02122449,,,,0.009614512,0.032471655,,,,,,,
